timestamp,filename,category,model_tag,ground_truth,prediction_raw,prediction_label,prediction_correct,is_unknown,response_word_count,video_duration_s,video_total_frames,video_fps,frames_sampled,inference_time_s,tokens_per_sec,frame_extraction_time_s,mem_delta_mb
12:39:32,Arson007_x264.mp4,Arson,Qwen3VL4B_3bit,Anomaly,"NORMAL - no violence, no abuse, no arson or assault; festive lighting, no abnormal activity.",Normal,False,False,15,208.4,6252,30.0,16,7.554,,0.208,-705.7
12:39:39,Normal_Videos_452_x264.mp4,Normal,Qwen3VL4B_3bit,Normal,"NORMAL - peaceful waiting, no violence or abnormal behavior observed.",Normal,True,False,10,14.77,443,30.0,16,6.992,,0.17,155.6
12:39:46,Assault017_x264.mp4,Assault,Qwen3VL4B_3bit,Anomaly,"NORMAL - person walking calmly, no violence or abuse detected.",Normal,False,False,10,81.67,2450,30.0,16,6.994,,0.052,-184.9
12:39:54,Assault039_x264.mp4,Assault,Qwen3VL4B_3bit,Anomaly,ASSAULT - physical altercation and struggle between two individuals in a confined space.,Anomaly,True,False,13,9.83,295,30.0,16,7.259,,0.091,-30.5
12:40:01,Abuse009_x264.mp4,Abuse,Qwen3VL4B_3bit,Anomaly,"NORMAL - peaceful walking, no violence or abuse detected.",Normal,False,False,9,33.37,1001,30.0,16,6.95,,0.183,161.2
12:40:08,Arson011_x264.mp4,Arson,Qwen3VL4B_3bit,Anomaly,"ABUSE - physical restraint and intimidation of person in elevator, no violence or fire.",Anomaly,True,False,14,42.2,1266,30.0,16,7.044,,0.136,0.4
12:40:15,Abuse049_x264.mp4,Abuse,Qwen3VL4B_3bit,Anomaly,"ASSAULT - physical altercation and struggle evident in frames, showing forceful interaction between individuals.",Anomaly,True,False,14,71.23,2137,30.0,16,7.101,,0.151,-190.4
12:40:22,Assault007_x264.mp4,Assault,Qwen3VL4B_3bit,Anomaly,ASSAULT - physical altercation and aggression evident in frames.,Anomaly,True,False,9,65.07,1952,30.0,16,7.023,,0.172,154.5
12:40:30,Arson002_x264.mp4,Arson,Qwen3VL4B_3bit,Anomaly,[ARSON] - smoke and fire spreading; person appears to be setting fire to stairwell.,Anomaly,True,False,14,147.97,4439,30.0,16,7.229,,0.194,1.2
12:40:37,Arson010_x264.mp4,Arson,Qwen3VL4B_3bit,Anomaly,"ASSAULT - physical altercation between two individuals near van, followed by struggle and potential aggression.",Anomaly,True,False,15,105.3,3159,30.0,16,7.276,,0.133,0.1
12:40:45,Arson008_x264.mp4,Arson,Qwen3VL4B_3bit,Anomaly,"NORMAL - no violence, no fire, no physical conflict; peaceful indoor activity captured.",Normal,False,False,13,40.67,1220,30.0,16,7.251,,0.114,14.0
12:40:52,Arson031_x264.mp4,Arson,Qwen3VL4B_3bit,Anomaly,"NORMAL - person walking calmly, no violence or abuse detected.",Normal,False,False,10,96.13,2884,30.0,16,7.237,,0.107,-84.6
12:41:00,Arrest010_x264.mp4,Arrest,Qwen3VL4B_3bit,Anomaly,"NORMAL - no violence, no fire, no assault, no arrest, just people walking, construction activity.",Normal,False,False,15,87.4,2622,30.0,16,7.478,,0.173,73.9
12:41:07,Abuse014_x264.mp4,Abuse,Qwen3VL4B_3bit,Anomaly,"NORMAL - person walking calmly, no violence, assault, or arson evident in frames.",Normal,False,False,13,86.33,2590,30.0,16,7.479,,0.104,-163.7
12:41:15,Arson003_x264.mp4,Arson,Qwen3VL4B_3bit,Anomaly,"ARSON - fire spreading, smoke, ignition evident in frames.",Anomaly,True,False,9,133.77,4013,30.0,16,7.397,,0.163,118.8
12:41:22,Assault005_x264.mp4,Assault,Qwen3VL4B_3bit,Anomaly,"ASSAULT - physical altercation, aggressive movement, struggle between individuals.",Anomaly,True,False,9,40.57,1217,30.0,16,7.626,,0.18,1.1
12:41:31,Assault004_x264.mp4,Assault,Qwen3VL4B_3bit,Anomaly,"NORMAL - people walking, no violence or abuse observed.",Normal,False,False,9,107.43,3223,30.0,16,8.061,,0.178,0.5
12:41:39,Arson005_x264.mp4,Arson,Qwen3VL4B_3bit,Anomaly,"[ARSON] - fire spreading, smoke, ignition evident; likely arson.",Anomaly,True,False,9,39.13,1174,30.0,16,8.414,,0.142,-0.5
12:41:48,Assault040_x264.mp4,Assault,Qwen3VL4B_3bit,Anomaly,"NORMAL - peaceful walking, no violence or abuse detected.",Normal,False,False,9,125.97,3779,30.0,16,8.597,,0.139,-6.4
12:41:57,Abuse002_x264.mp4,Abuse,Qwen3VL4B_3bit,Anomaly,"[NORMAL] - no violence or abuse detected, people walking calmly.",Normal,False,False,10,28.83,865,30.0,16,9.119,,0.149,-9.3
